date,month,day_of_week,department,total_beds,occupied,available,reserved,maintenance,occupancy_rate
2025-03-25,3,Tuesday,ICU,20,15,5,1,0,79.1
2025-03-25,3,Tuesday,General,50,38,12,0,0,77.2
2025-03-25,3,Tuesday,Emergency,30,20,10,1,0,69.3
2025-03-25,3,Tuesday,Pediatrics,25,17,8,1,0,69.7
2025-03-25,3,Tuesday,Maternity,20,14,6,0,0,73.8
2025-03-25,3,Tuesday,Surgery,15,11,4,0,0,79.9
2025-03-25,3,Tuesday,Cardiology,20,14,6,1,0,70.5
2025-03-25,3,Tuesday,Orthopedics,20,14,6,0,0,70.1
2025-03-25,3,Tuesday,Neurology,15,10,5,0,0,72.9
2025-03-25,3,Tuesday,Oncology,15,11,4,0,0,79.4
2025-03-26,3,Wednesday,ICU,20,13,7,0,0,67.6
2025-03-26,3,Wednesday,General,50,33,17,0,0,67.6
2025-03-26,3,Wednesday,Emergency,30,21,9,1,0,70.9
2025-03-26,3,Wednesday,Pediatrics,25,17,8,1,0,71.8
2025-03-26,3,Wednesday,Maternity,20,14,6,1,0,74.2
2025-03-26,3,Wednesday,Surgery,15,10,5,1,0,70.9
2025-03-26,3,Wednesday,Cardiology,20,13,7,1,0,69.2
2025-03-26,3,Wednesday,Orthopedics,20,14,6,1,0,70.8
2025-03-26,3,Wednesday,Neurology,15,11,4,1,0,76.8
2025-03-26,3,Wednesday,Oncology,15,10,5,1,0,70.9
2025-03-27,3,Thursday,ICU,20,13,7,0,0,68.3
2025-03-27,3,Thursday,General,50,33,17,1,0,67.5
2025-03-27,3,Thursday,Emergency,30,23,7,1,0,79.7
2025-03-27,3,Thursday,Pediatrics,25,18,7,1,0,72.8
2025-03-27,3,Thursday,Maternity,20,14,6,0,0,72.6
2025-03-27,3,Thursday,Surgery,15,11,4,0,0,79.1
2025-03-27,3,Thursday,Cardiology,20,15,5,1,0,76.2
2025-03-27,3,Thursday,Orthopedics,20,15,5,0,0,76.9
2025-03-27,3,Thursday,Neurology,15,11,4,1,0,77.7
2025-03-27,3,Thursday,Oncology,15,11,4,1,0,75.2
2025-03-28,3,Friday,ICU,20,14,6,1,0,72.3
2025-03-28,3,Friday,General,50,33,17,0,0,67.9
2025-03-28,3,Friday,Emergency,30,21,9,1,0,71.8
2025-03-28,3,Friday,Pediatrics,25,17,8,1,0,70.1
2025-03-28,3,Friday,Maternity,20,14,6,1,0,70.8
2025-03-28,3,Friday,Surgery,15,11,4,1,0,78.1
2025-03-28,3,Friday,Cardiology,20,13,7,0,0,69.8
2025-03-28,3,Friday,Orthopedics,20,15,5,1,0,76.3
2025-03-28,3,Friday,Neurology,15,11,4,0,0,77.7
2025-03-28,3,Friday,Oncology,15,10,5,0,0,72.1
2025-03-29,3,Saturday,ICU,20,13,7,0,0,67.5
2025-03-29,3,Saturday,General,50,39,11,0,0,78.7
2025-03-29,3,Saturday,Emergency,30,23,7,0,0,78.3
2025-03-29,3,Saturday,Pediatrics,25,19,6,0,0,78.0
2025-03-29,3,Saturday,Maternity,20,13,7,1,0,67.7
2025-03-29,3,Saturday,Surgery,15,11,4,1,0,74.8
2025-03-29,3,Saturday,Cardiology,20,13,7,0,0,69.7
2025-03-29,3,Saturday,Orthopedics,20,13,7,0,0,67.3
2025-03-29,3,Saturday,Neurology,15,10,5,0,0,68.4
2025-03-29,3,Saturday,Oncology,15,10,5,1,0,70.6
2025-03-30,3,Sunday,ICU,20,14,6,0,0,74.1
2025-03-30,3,Sunday,General,50,34,16,1,0,68.6
2025-03-30,3,Sunday,Emergency,30,22,8,0,0,76.0
2025-03-30,3,Sunday,Pediatrics,25,17,8,0,0,69.1
2025-03-30,3,Sunday,Maternity,20,13,7,0,0,68.1
2025-03-30,3,Sunday,Surgery,15,11,4,0,0,73.6
2025-03-30,3,Sunday,Cardiology,20,13,7,0,0,68.6
2025-03-30,3,Sunday,Orthopedics,20,15,5,0,0,79.3
2025-03-30,3,Sunday,Neurology,15,11,4,1,0,75.7
2025-03-30,3,Sunday,Oncology,15,10,5,1,0,70.0
2025-03-31,3,Monday,ICU,20,15,5,0,0,78.6
2025-03-31,3,Monday,General,50,36,14,1,0,72.8
2025-03-31,3,Monday,Emergency,30,23,7,0,0,78.1
2025-03-31,3,Monday,Pediatrics,25,17,8,0,0,70.6
2025-03-31,3,Monday,Maternity,20,15,5,0,0,79.3
2025-03-31,3,Monday,Surgery,15,11,4,0,0,76.9
2025-03-31,3,Monday,Cardiology,20,13,7,1,0,69.4
2025-03-31,3,Monday,Orthopedics,20,14,6,0,0,74.6
2025-03-31,3,Monday,Neurology,15,10,5,1,0,68.2
2025-03-31,3,Monday,Oncology,15,11,4,1,0,75.5
2025-04-01,4,Tuesday,ICU,20,15,5,0,0,80.0
2025-04-01,4,Tuesday,General,50,39,11,1,0,79.6
2025-04-01,4,Tuesday,Emergency,30,20,10,1,0,69.2
2025-04-01,4,Tuesday,Pediatrics,25,17,8,0,0,71.8
2025-04-01,4,Tuesday,Maternity,20,15,5,1,0,77.5
2025-04-01,4,Tuesday,Surgery,15,11,4,0,0,76.2
2025-04-01,4,Tuesday,Cardiology,20,15,5,0,0,75.2
2025-04-01,4,Tuesday,Orthopedics,20,14,6,0,0,74.5
2025-04-01,4,Tuesday,Neurology,15,10,5,1,0,68.2
2025-04-01,4,Tuesday,Oncology,15,10,5,0,0,72.1
2025-04-02,4,Wednesday,ICU,20,15,5,0,0,76.7
2025-04-02,4,Wednesday,General,50,37,13,0,0,74.7
2025-04-02,4,Wednesday,Emergency,30,21,9,0,0,70.9
2025-04-02,4,Wednesday,Pediatrics,25,18,7,0,0,74.2
2025-04-02,4,Wednesday,Maternity,20,15,5,0,0,75.5
2025-04-02,4,Wednesday,Surgery,15,10,5,0,0,71.0
2025-04-02,4,Wednesday,Cardiology,20,14,6,1,0,71.8
2025-04-02,4,Wednesday,Orthopedics,20,15,5,0,0,76.0
2025-04-02,4,Wednesday,Neurology,15,11,4,1,0,73.7
2025-04-02,4,Wednesday,Oncology,15,11,4,0,0,76.9
2025-04-03,4,Thursday,ICU,20,13,7,1,0,69.1
2025-04-03,4,Thursday,General,50,34,16,0,0,69.5
2025-04-03,4,Thursday,Emergency,30,21,9,0,0,70.5
2025-04-03,4,Thursday,Pediatrics,25,18,7,1,0,74.3
2025-04-03,4,Thursday,Maternity,20,14,6,0,0,72.6
2025-04-03,4,Thursday,Surgery,15,10,5,1,0,69.0
2025-04-03,4,Thursday,Cardiology,20,14,6,0,0,70.3
2025-04-03,4,Thursday,Orthopedics,20,15,5,1,0,76.2
2025-04-03,4,Thursday,Neurology,15,11,4,1,0,78.8
2025-04-03,4,Thursday,Oncology,15,10,5,1,0,70.0
2025-04-04,4,Friday,ICU,20,14,6,1,0,73.8
2025-04-04,4,Friday,General,50,34,16,0,0,68.9
2025-04-04,4,Friday,Emergency,30,22,8,0,0,76.2
2025-04-04,4,Friday,Pediatrics,25,17,8,1,0,70.2
2025-04-04,4,Friday,Maternity,20,15,5,0,0,78.1
2025-04-04,4,Friday,Surgery,15,11,4,0,0,73.4
2025-04-04,4,Friday,Cardiology,20,15,5,0,0,75.0
2025-04-04,4,Friday,Orthopedics,20,14,6,1,0,70.7
2025-04-04,4,Friday,Neurology,15,11,4,0,0,73.7
2025-04-04,4,Friday,Oncology,15,10,5,1,0,67.2
2025-04-05,4,Saturday,ICU,20,15,5,0,0,76.1
2025-04-05,4,Saturday,General,50,34,16,1,0,68.0
2025-04-05,4,Saturday,Emergency,30,21,9,0,0,70.0
2025-04-05,4,Saturday,Pediatrics,25,17,8,1,0,69.7
2025-04-05,4,Saturday,Maternity,20,15,5,1,0,78.3
2025-04-05,4,Saturday,Surgery,15,11,4,1,0,79.0
2025-04-05,4,Saturday,Cardiology,20,15,5,1,0,75.4
2025-04-05,4,Saturday,Orthopedics,20,13,7,0,0,68.5
2025-04-05,4,Saturday,Neurology,15,11,4,1,0,76.4
2025-04-05,4,Saturday,Oncology,15,10,5,1,0,69.3
2025-04-06,4,Sunday,ICU,20,14,6,0,0,73.7
2025-04-06,4,Sunday,General,50,38,12,1,0,76.4
2025-04-06,4,Sunday,Emergency,30,20,10,1,0,69.0
2025-04-06,4,Sunday,Pediatrics,25,17,8,0,0,70.6
2025-04-06,4,Sunday,Maternity,20,14,6,0,0,71.8
2025-04-06,4,Sunday,Surgery,15,11,4,1,0,73.8
2025-04-06,4,Sunday,Cardiology,20,15,5,1,0,78.3
2025-04-06,4,Sunday,Orthopedics,20,14,6,1,0,70.9
2025-04-06,4,Sunday,Neurology,15,11,4,0,0,79.8
2025-04-06,4,Sunday,Oncology,15,11,4,1,0,77.4
2025-04-07,4,Monday,ICU,20,14,6,0,0,72.6
2025-04-07,4,Monday,General,50,34,16,1,0,69.6
2025-04-07,4,Monday,Emergency,30,20,10,1,0,67.6
2025-04-07,4,Monday,Pediatrics,25,16,9,1,0,67.6
2025-04-07,4,Monday,Maternity,20,14,6,1,0,72.1
2025-04-07,4,Monday,Surgery,15,10,5,1,0,71.4
2025-04-07,4,Monday,Cardiology,20,14,6,1,0,71.9
2025-04-07,4,Monday,Orthopedics,20,14,6,1,0,71.6
2025-04-07,4,Monday,Neurology,15,10,5,0,0,69.2
2025-04-07,4,Monday,Oncology,15,11,4,0,0,75.1
2025-04-08,4,Tuesday,ICU,20,14,6,1,0,72.4
2025-04-08,4,Tuesday,General,50,37,13,0,0,75.4
2025-04-08,4,Tuesday,Emergency,30,21,9,1,0,70.3
2025-04-08,4,Tuesday,Pediatrics,25,17,8,1,0,71.3
2025-04-08,4,Tuesday,Maternity,20,15,5,0,0,78.7
2025-04-08,4,Tuesday,Surgery,15,11,4,0,0,77.5
2025-04-08,4,Tuesday,Cardiology,20,15,5,0,0,78.5
2025-04-08,4,Tuesday,Orthopedics,20,15,5,0,0,79.0
2025-04-08,4,Tuesday,Neurology,15,11,4,0,0,74.3
2025-04-08,4,Tuesday,Oncology,15,11,4,1,0,75.6
2025-04-09,4,Wednesday,ICU,20,14,6,1,0,70.9
2025-04-09,4,Wednesday,General,50,35,15,1,0,70.9
2025-04-09,4,Wednesday,Emergency,30,20,10,0,0,68.6
2025-04-09,4,Wednesday,Pediatrics,25,17,8,1,0,68.9
2025-04-09,4,Wednesday,Maternity,20,14,6,0,0,71.7
2025-04-09,4,Wednesday,Surgery,15,10,5,1,0,71.2
2025-04-09,4,Wednesday,Cardiology,20,15,5,1,0,77.8
2025-04-09,4,Wednesday,Orthopedics,20,15,5,0,0,76.2
2025-04-09,4,Wednesday,Neurology,15,11,4,1,0,76.6
2025-04-09,4,Wednesday,Oncology,15,11,4,1,0,75.0
2025-04-10,4,Thursday,ICU,20,14,6,0,0,73.0
2025-04-10,4,Thursday,General,50,34,16,0,0,69.8
2025-04-10,4,Thursday,Emergency,30,21,9,1,0,70.0
2025-04-10,4,Thursday,Pediatrics,25,18,7,0,0,72.9
2025-04-10,4,Thursday,Maternity,20,15,5,0,0,76.6
2025-04-10,4,Thursday,Surgery,15,10,5,0,0,72.4
2025-04-10,4,Thursday,Cardiology,20,15,5,1,0,77.7
2025-04-10,4,Thursday,Orthopedics,20,15,5,1,0,76.3
