date,month,equipment,department,total_units,units_in_use,utilization_rate,maintenance_flag
2025-09-26,9,Ventilator,Oncology,3,1,65.0,1
2025-09-26,9,Ventilator,Emergency,3,1,58.1,0
2025-09-26,9,Ventilator,Maternity,3,2,77.8,0
2025-09-26,9,Ventilator,General,3,2,72.5,0
2025-09-26,9,ECG Monitor,General,5,3,67.1,0
2025-09-26,9,ECG Monitor,Pediatrics,5,3,66.5,0
2025-09-26,9,ECG Monitor,Neurology,5,3,69.4,0
2025-09-26,9,Infusion Pump,Emergency,8,5,72.8,0
2025-09-26,9,Infusion Pump,Cardiology,8,5,73.2,0
2025-09-26,9,Infusion Pump,Neurology,8,6,83.8,0
2025-09-26,9,Defibrillator,Cardiology,2,0,43.6,0
2025-09-26,9,Defibrillator,Orthopedics,2,0,36.1,0
2025-09-26,9,Defibrillator,General,2,0,41.4,0
2025-09-26,9,Ultrasound,ICU,1,0,60.3,0
2025-09-26,9,Ultrasound,Oncology,1,0,57.8,0
2025-09-26,9,Ultrasound,Pediatrics,1,0,72.8,0
2025-09-26,9,Ultrasound,Orthopedics,1,0,52.7,0
2025-09-26,9,Ultrasound,Neurology,1,0,58.0,0
2025-09-26,9,Ultrasound,General,1,0,62.9,0
2025-09-26,9,Pulse Oximeter,Surgery,10,7,71.3,0
2025-09-26,9,Pulse Oximeter,Pediatrics,10,8,87.8,0
2025-09-26,9,Pulse Oximeter,ICU,10,8,87.2,0
2025-09-26,9,Pulse Oximeter,Maternity,10,6,69.1,0
2025-09-27,9,Ventilator,Maternity,3,2,78.5,0
2025-09-27,9,Ventilator,Neurology,3,1,66.3,0
2025-09-27,9,Ventilator,General,3,2,70.5,0
2025-09-27,9,Ventilator,Oncology,3,1,57.4,0
2025-09-27,9,Ventilator,Pediatrics,3,2,71.4,0
2025-09-27,9,ECG Monitor,Surgery,5,3,63.2,0
2025-09-27,9,ECG Monitor,Maternity,5,2,56.8,0
2025-09-27,9,ECG Monitor,Pediatrics,5,3,65.3,0
2025-09-27,9,ECG Monitor,Orthopedics,5,3,71.9,0
2025-09-27,9,ECG Monitor,General,5,2,55.6,0
2025-09-27,9,Infusion Pump,Orthopedics,8,6,76.4,0
2025-09-27,9,Infusion Pump,Neurology,8,7,95.5,0
2025-09-27,9,Infusion Pump,Pediatrics,8,6,76.7,0
2025-09-27,9,Defibrillator,Pediatrics,2,0,25.9,1
